epoch,accuracy,loss
0,0.04804469645023346,0.004242857918143272
1,0.05732345208525658,0.0006523795309476554
2,0.06519625335931778,0.000644974410533905
3,0.06887521594762802,0.0006405605236068368
4,0.07093469798564911,0.0006376421079039574
5,0.0723443478345871,0.0006355834775604308
6,0.07338795810937881,0.0006340421969071031
7,0.07414685934782028,0.0006328608142212033
8,0.074767105281353,0.0006319832755252719
9,0.07527920603752136,0.0006313571357168257
10,0.0756637379527092,0.0006308276206254959
11,0.07590684294700623,0.0006302817491814494
12,0.07607322931289673,0.0006298029329627752
13,0.076247937977314,0.0006294547347351909
14,0.07642541080713272,0.000629185582511127
15,0.07661213725805283,0.0006289202137850225
16,0.07668885588645935,0.0006286372663453221
17,0.07685801386833191,0.0006284122355282307
18,0.07695969939231873,0.0006282444228418171
19,0.07711221277713776,0.0006281400565057993
20,0.07718431949615479,0.0006280686357058585
21,0.07720927149057388,0.0006279927329160273
22,0.07725086808204651,0.0006278994842432439
23,0.07729709148406982,0.0006277881329879165
24,0.07726658135652542,0.0006276865024119616
25,0.07725919038057327,0.0006276024505496025
26,0.077285997569561,0.0006275252089835703
27,0.07727305591106415,0.0006274348706938326
28,0.0773007869720459,0.0006273449398577213
29,0.07732851803302765,0.0006272920873016119
